trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",25,10,-50.545044347703154,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",35,19,23.017075661141085,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",25,13,-40.75441948160689,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",30,13,-24.89830879344527,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",30,9,-7.611048509964675,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,-72.01674875554355,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,0,-13.57553105594003,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,2,-25.209123019228702,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",20,16,7.62386151220888,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,14,10.513544063880389,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,4,2.2897828057896916,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",30,16,24.88202274118842,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",20,5,-47.718977217792116,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,-16.805132611196093,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",35,1,0.007721628778438738,"{0: 28, 1: 4, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,10,-22.75408509943505,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,0,-36.65094853233603,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,8,1.640500560814467,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",30,22,14.3832704320378,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",35,2,-27.053794269403525,"{0: 30, 1: 0, 2: 1, 3: 1, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",30,0,-22.897695222703863,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,14,14.2123870509584,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",35,17,-11.822468626900823,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,0,-4.769488004411196,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",25,15,16.216524985683773,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
