trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.5, 'e': 0.0653913372093433}",25,15,20.423934494570844,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.06408351046515644}",25,8,-3.974613672700992,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.0628018402558533}",35,13,-41.21653051864735,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
138,False,"{'a': 0.5, 'e': 0.061545803450736236}",20,11,-38.933502856618986,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.060314887381721506}",20,0,26.837215569587688,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.05910858963408708}",30,17,21.05731682524037,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,13.372530012470277,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,14.007836917204802,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,25.06323168942898,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,15.933345548261613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,20,18.59594094226496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,14,9.574156288340154,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,19,21.778139764334693,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,4,24.0096787576391,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,10,23.329885173841166,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,18,13.331790546864124,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
